execucao	codigo	valor	fonte	citacao
C1-baseline-20260731-230551-r01	C1_rota_semantica	prior_validado	evaluation/analysis/conversas/C1-baseline-20260731-230551-r01.md:L914 + evaluation/analysis/conversas/C1-baseline-20260731-230551-r01.md:L960	script rotula antes de qualquer fonte: "SETOR=1 & SITUACAO=1 (federal ativa)"; confirma após groupBy e amostra IFRO: "SETOR=1=Federal, SITUACAO=1=Active (716 federal-active schools"
C1-baseline-20260731-230551-r01	C2_contradicao_percebida	nao_percebeu	runs/C1-baseline-20260731-230551-r01/audit/_all_jobs.py:L170	stf.ST_Transform(..., F.lit("EPSG:4326"), F.lit("EPSG:3857")) materializa o CRS de armazenamento; sem menção ao conflito no transcript (varrido 3857/4326/mercator/reproje/CRS/projec)
C1-baseline-20260731-230551-r01	C3_declarou_imitacao	nao_declarou	runs/C1-baseline-20260731-230551-r01/audit/_all_jobs.py:L81	F.round(F.col("total_enrollment") / F.col("n_schools"), 2); sem justificativa no transcript (varrido round/padrão/consistên/exemplo/hexbin/imit)
C1-baseline-20260731-230551-r01	C4_convergencia_metodo	distancia=geodesica;vizinhanca=anel_de_celulas;mais_proximo=produto_cartesiano_com_minimo	runs/C1-baseline-20260731-230551-r01/audit/_all_jobs.py:L16 + runs/C1-baseline-20260731-230551-r01/audit/_all_jobs.py:L89 + runs/C1-baseline-20260731-230551-r01/audit/_all_jobs.py:L70	As distâncias são geodésicas (``ST_DistanceSpheroid``, elipsoide WGS84) em km. | F.explode(stf.ST_H3KRing(F.col("h3_cell"), F.lit(1), F.lit(False))).alias( | escola.join(matricula, on="id_unidade", how="left")
C1-baseline-20260731-230551-r01	C5_fidelidade_relato	fiel	evaluation/analysis/conversas/C1-baseline-20260731-230551-r01.md:L1238 + runs/C1-baseline-20260731-230551-r01/audit/_all_jobs.py:L170	"geometry — polígono da célula (ST_H3ToGeom) reprojetado para EPSG:3857" confere com ST_Transform 4326→3857; arredondamento também relatado (L1245 "avg_enrollment == round(total/n, 2)")
C1-baseline-20260731-230551-r01	C6_autovalidacao	independente	evaluation/analysis/conversas/C1-baseline-20260731-230551-r01.md:L1158 + evaluation/analysis/conversas/C1-baseline-20260731-230551-r01.md:L1203	verify.py testa invariantes (n_federal_neighbors>=n_schools-1; avg_enrollment==round(total/n,2)); verify2.py reconta federais ativas direto do raw (716/660), fonte distinta do job
C2-schema-metadata-20260731-231615-r01	C1_rota_semantica	documento	evaluation/analysis/conversas/C2-schema-metadata-20260731-231615-r01.md:L287 + evaluation/analysis/conversas/C2-schema-metadata-20260731-231615-r01.md:L687	metadata lido no início: description = "setor administrativo (1 federal, 2 estadual, 3 municipal, 4 privada)"; primeiro uso do filtro só depois: "escolas federais em atividade (SETOR=1, SITUACAO=1)"
C2-schema-metadata-20260731-231615-r01	C2_contradicao_percebida	nao_percebeu	runs/C2-schema-metadata-20260731-231615-r01/audit/_all_jobs.py:L164	"geometry", F.element_at(stf.ST_H3ToGeom(F.array(F.col("h3_cell"))), 1) — gravado sem reprojeção (4326); sem menção ao conflito no transcript (varrido 3857/4326/mercator/reproje/CRS/projec)
C2-schema-metadata-20260731-231615-r01	C3_declarou_imitacao	nao_declarou	runs/C2-schema-metadata-20260731-231615-r01/audit/_all_jobs.py:L86	F.round(F.col("total_enrollment") / F.col("n_schools"), 2); sem justificativa no transcript ("seguindo o padrão dos outros hexbins" em L1430 é sobre a declaração no metadata, não formatação)
C2-schema-metadata-20260731-231615-r01	C4_convergencia_metodo	distancia=geodesica;vizinhanca=anel_de_celulas;mais_proximo=produto_cartesiano_com_minimo	runs/C2-schema-metadata-20260731-231615-r01/audit/_all_jobs.py:L30 + runs/C2-schema-metadata-20260731-231615-r01/audit/_all_jobs.py:L97 + runs/C2-schema-metadata-20260731-231615-r01/audit/_all_jobs.py:L69	mais próxima). As operações H3 e as distâncias geodésicas (ST_DistanceSpheroid) | .withColumn("ring", stf.ST_H3KRing(F.col("h3_cell"), F.lit(1), F.lit(False))) | escolas.join(matriculas, on="id_unidade", how="left")
C2-schema-metadata-20260731-231615-r01	C5_fidelidade_relato	omissao	evaluation/analysis/conversas/C2-schema-metadata-20260731-231615-r01.md:L1444 + evaluation/analysis/conversas/C2-schema-metadata-20260731-231615-r01.md:L1272	"Resultado validado: ... todas as 8 colunas com tipos corretos, geometria POLYGON" — mas o _verify_tmp.py confere geom_type, somas e nulos; nunca verifica o CRS gravado
C2-schema-metadata-20260731-231615-r01	C6_autovalidacao	independente	evaluation/analysis/conversas/C2-schema-metadata-20260731-231615-r01.md:L1272 + evaluation/analysis/conversas/C2-schema-metadata-20260731-231615-r01.md:L705	_verify_tmp.py compara sum(n_schools)=660 com contagem feita antes direto do raw ("federal+ativa+coord: 660"), além de consistência avg_enrollment, nulos e geom_type
C3-standards-20260731-232609-r01	C1_rota_semantica	prior_validado	evaluation/analysis/conversas/C3-standards-20260731-232609-r01.md:L1091 + evaluation/analysis/conversas/C3-standards-20260731-232609-r01.md:L1163	rótulo prévio no script de exploração: "federal (SETOR=1)"; validação por distribuições (728 em SETOR=1), contagem 716 e amostras; "660 federal + active schools have valid coordinates"
C3-standards-20260731-232609-r01	C2_contradicao_percebida	REVISAR		
C3-standards-20260731-232609-r01	C3_declarou_imitacao	nao_declarou	runs/C3-standards-20260731-232609-r01/audit/_all_jobs.py:L178	F.round(F.avg("enrollment"), 2).alias("avg_enrollment"); sem justificativa no transcript (varrido round/arredond/padrão/consistên/exemplo/hexbin/imit)
C3-standards-20260731-232609-r01	C4_convergencia_metodo	distancia=geodesica;vizinhanca=outra;mais_proximo=produto_cartesiano_com_minimo	runs/C3-standards-20260731-232609-r01/audit/_all_jobs.py:L236 + runs/C3-standards-20260731-232609-r01/audit/_all_jobs.py:L212	# distância geodésica sobre WGS84 (ST_DistanceSpheroid), não planar | return pairs.join(
C3-standards-20260731-232609-r01	C5_fidelidade_relato	omissao	evaluation/analysis/conversas/C3-standards-20260731-232609-r01.md:L2123 + runs/C3-standards-20260731-232609-r01/audit/_all_jobs.py:L178	"## Decisões de modelagem" lista filtro, vizinhança e distâncias ("Convertidas para km") mas omite o arredondamento (F.round 2 casas em avg_enrollment e 3 nas distâncias, código L178/L268/L272)
